id,to,from,label
E4087,1059,482,1
E6897,881,1813,0
E4994,9,2023,0
E6369,1790,2029,1
E2068,779,899,1
E3175,1665,1888,0
E2694,12,542,1
E3055,2490,712,1
E8320,232,2256,1
E4793,2012,1663,1
E7584,518,2371,1
E8721,2295,1960,0
E7220,693,885,0
E4866,2750,2294,0
E2599,499,701,1
E7791,779,798,1
E2254,1114,381,0
E1723,2832,2607,0
E778,1831,215,0
E3700,673,880,0
E6864,2245,1509,1
E5987,2293,1418,1
E6912,1635,3023,1
E1388,2710,438,0
E7996,784,3220,0
E4578,1350,1670,1
E5750,1154,73,1
E3528,2260,527,0
E1280,2718,2305,1
E1123,679,923,0
E3264,170,73,0
E8454,122,3194,1
E5765,260,2513,0
E5473,3208,1138,1
E4668,1127,1555,1
E2647,2004,1401,0
E2886,1748,1378,1
E1513,2274,2672,0
E3355,750,2843,1
E6140,2632,2154,0
E271,2538,2128,1
E1355,1401,658,0
E5557,247,1750,1
E5170,1731,1271,0
E8425,2620,1036,1
E388,2488,1714,0
E1371,2900,1235,0
E8278,2006,2045,0
E3352,2639,743,0
E8855,2258,533,0
E8950,2036,1215,1
E7876,3055,3119,0
E5906,2258,1175,0
E1783,437,2178,1
E1782,167,1986,1
E772,3041,2926,1
E6936,1531,3241,1
E9382,2251,1315,0
E442,3218,3218,1
E9034,3157,2575,1
E2374,568,1507,0
E2919,2559,72,1
E8208,2381,1426,0
E4886,847,1555,0
E8840,2739,2924,0
E8918,2614,1206,0
E5723,2730,568,1
E4441,2891,1186,0
E190,752,956,1
E4182,1109,2627,0
E3270,1415,2819,1
E8985,957,1708,0
E2383,2122,2320,0
E9095,167,602,1
E6245,2485,27,1
E7671,2294,2520,0
E5311,3249,1747,0
E905,530,269,1
E9219,2598,2708,0
E8929,1870,2722,0
E656,2747,1031,0
E6707,1096,1669,1
E4883,1009,1555,0
E8621,950,2578,0
E6449,835,2929,0
E2391,107,891,0
E5931,459,2331,1
E5903,1305,864,1
E428,2798,2952,0
E2857,3012,3117,0
E1327,44,1311,0
E3947,2002,2535,0
E2217,624,1741,1
E5293,1036,930,0
E2711,1815,956,1
E3106,1813,1022,0
E8488,418,779,0
E6007,76,3152,0
E5034,1929,1628,1
E6191,2240,1778,0
E933,2622,2177,0
E6649,1828,1094,1
E3567,2969,2071,1
E8309,1141,172,1
E2464,527,2199,1
E6901,1949,2871,1
E720,944,2372,0
E9356,859,712,1
E5772,3138,1133,0
E7455,2052,759,1
E9207,2656,1330,1
E1626,3231,700,0
E4679,1811,1126,0
E4687,1935,2963,1
E2642,1870,1807,0
E798,1003,2216,0
E8129,800,675,0
E2645,2617,2944,0
E9402,1757,1430,1
E3388,1346,2919,1
E4129,1619,1810,1
E1332,2313,2405,0
E5383,2855,2878,1
E4258,2166,355,1
E3807,1268,1960,1
E3339,2160,468,0
E9263,123,528,0
E931,3292,714,1
E4357,3250,242,1
E7097,2276,2132,0
E5692,3133,3040,0
E2351,515,1281,1
E8599,179,1316,0
E6868,3136,1637,0
E4257,1407,86,0
E8383,1702,3025,1
E8474,1038,2283,1
E3408,1456,2107,1
E4323,300,878,1
E7804,2395,1540,1
E5461,2551,1799,0
E7462,2572,1585,0
E7460,439,259,1
E1963,777,1927,1
E3153,1467,1079,0
E5937,886,1079,0
E686,2762,1263,1
E8083,2543,3098,1
E1884,550,1252,0
E3484,3175,2290,0
E8747,2434,929,0
E195,1441,1929,0
E6567,2903,697,1
E2921,2510,2138,0
E7886,3233,2319,0
E5856,7,2989,1
E6630,2557,1897,0
E653,2132,2399,0
E8115,3107,3310,1
E5371,455,3180,1
E7568,1527,3290,1
E6977,2352,1085,0
E2992,1599,3122,1
E1133,2578,526,0
E4232,1768,856,0
E1198,1683,883,0
E5097,2554,3165,0
E4043,2558,1055,0
E3478,2215,2699,0
E4444,2563,1144,1
E4789,2302,992,0
E2760,861,958,1
E350,2813,586,1
E6486,51,3165,0
E1240,2901,2251,1
E2188,1431,651,0
E3877,779,2231,1
E6126,3243,506,1
E1500,505,1119,0
E537,104,313,1
E1858,1410,866,0
E5821,2954,3117,0
E1817,1700,813,1
E8274,2623,3098,0
E5984,1228,2825,0
E6201,2643,1677,0
E596,1068,1823,0
E7085,605,2976,1
E3127,2618,999,0
E1121,1607,2620,1
E3901,55,406,0
E3869,258,1408,1
E8560,1050,3010,0
E5342,2545,3143,1
E7542,1851,904,0
E5870,2180,1300,0
E6214,1072,2345,1
E3206,2967,23,0
E4429,1063,2118,1
E4445,2106,1228,1
E2665,742,2814,0
E2895,473,2965,0
E9214,2672,2366,1
E5794,3071,2878,0
E3938,2322,1811,1
E5192,2447,656,1
E7063,1063,2070,1
E9255,1343,1897,0
E1799,3187,2783,0
E6233,2823,3170,0
E4250,1636,1028,1
E1510,1886,702,0
E8608,1053,2931,1
E2809,2011,2457,0
E2121,1059,2915,0
E5025,2493,30,0
E5340,886,3012,1
E6983,1738,2828,0
E1265,566,1065,0
E3254,1922,1039,1
E2439,2046,1155,0
E2976,2730,2490,1
E2227,2110,2005,1
E5618,369,228,1
E6923,1840,2541,1
E5204,322,2083,0
E9240,3104,2129,1
E5487,1202,1525,0
E9218,2800,595,1
E2664,1815,2620,1
E7357,2640,782,1
E6240,433,2209,0
E654,1854,2400,1
E5640,1884,1179,1
E9389,2006,959,1
E3225,3164,224,0
E3128,2458,3164,0
E3342,2143,1461,1
E3376,1786,2966,0
E784,527,119,1
E21,3134,2912,0
E3001,1778,2013,0
E8124,3158,2122,0
E8951,2310,433,0
E7947,2319,1298,1
E8008,435,718,1
E4386,1642,370,1
E7707,647,34,1
E2572,2418,1779,1
E8978,1399,2376,1
E5469,497,1037,0
E6519,1231,1369,1
E1542,1910,843,0
E3046,1920,1964,1
E5516,813,650,0
E12,1145,1003,1
E3803,3055,753,1
E7271,679,75,0
E6307,1311,2539,0
E5897,3004,1888,1
E4086,800,2075,0
E3491,1313,2427,0
E1199,1932,1932,1
E573,1035,1433,1
E8268,908,332,0
E8930,2152,152,0
E7867,3141,1416,1
E1425,631,3036,1
E1952,2537,100,1
E486,2459,2131,1
E8032,2727,1052,1
E210,541,1690,1
E6066,1937,3206,1
E7676,1309,415,0
E9344,2812,660,0
E1932,486,1716,1
E7570,2578,2593,1
E7912,1612,1826,1
E1321,1960,1093,0
E5008,1060,2320,0
E6960,2201,1130,1
E9315,673,2817,1
E4831,3125,3032,1
E4051,2970,380,0
E5819,1011,1937,0
E885,167,3182,1
E2158,545,1784,1
E7534,1152,1606,0
E8564,30,2929,0
E1043,1063,956,1
E3246,2821,367,0
E5077,1777,1974,1
E8876,2484,2484,1
E3848,331,2664,1
E7618,3003,2506,1
E2603,2285,176,1
E3304,1931,939,0
E563,1814,1046,1
E5562,616,2447,0
E536,30,2998,1
E7148,2070,3084,0
E9298,1106,1096,1
E2982,1656,1656,1
E7106,1462,1785,1
E5274,1039,864,1
E7626,1531,1534,1
E4466,3048,2193,1
E3838,839,3149,0
E721,1020,3033,1
E2231,2687,714,0
E2354,986,2950,1
E911,891,1049,0
E6468,1973,583,1
E1330,154,2283,0
E816,505,1828,0
E9271,602,3122,0
E501,2110,1175,1
E7451,914,732,0
E2597,2688,516,1
E1201,1803,325,1
E1755,1907,1661,0
E6175,3117,2778,1
E8161,2700,2744,0
E1147,1887,1352,0
E4533,1067,709,0
E4045,118,1084,0
E8828,1766,2956,1
E2920,2456,1124,0
E5831,1751,2626,1
E2084,1308,718,1
E7567,2945,2765,1
E2720,3179,2760,0
E7409,1188,2956,0
E6600,2110,2514,1
E2101,1577,1577,1
E6553,3210,3102,1
E4320,1316,3169,0
E556,1922,1582,1
E2501,2765,1290,0
E2567,2702,2335,0
E5472,2392,1888,1
E8989,1919,1222,0
E3273,2381,2882,1
E4593,807,2121,0
E9374,973,553,1
E2016,1685,3274,1
E3855,2242,3107,0
E7320,715,1684,1
E6927,1800,2317,0
E6931,1843,908,1
E6254,3092,483,0
E3560,2241,2686,1
E5037,1133,1387,1
E5673,727,2957,1
E6023,2913,1501,1
E5654,1145,2364,1
E3258,1747,35,0
E3932,724,469,1
E3933,3177,415,1
E4138,2629,2966,1
E5924,2106,490,1
E1829,1592,1452,1
E6109,80,1579,1
E7682,1920,1121,1
E7959,2046,82,1
E495,1535,1269,1
E9425,3061,1755,0
E4329,1249,746,1
E2732,138,1786,1
E2814,2987,2806,0
E6145,661,3021,0
E6885,1364,94,0
E1284,1234,769,0
E6474,2661,886,1
E6702,2462,1406,1
E7307,1734,2059,0
E3442,1360,2159,1
E1446,2817,1638,0
E2410,2899,2262,1
E9289,1690,1386,0
E2241,2806,1652,1
E6794,1063,2499,0
E2014,879,2563,0
E8003,225,1221,0
E7828,602,781,0
E6667,1145,264,1
E55,2545,3290,0
E6603,1539,2601,0
E8831,2970,3052,1
E8166,1962,17,1
E2734,1551,130,0
E4954,1271,317,1
E2445,1728,573,1
E4686,1073,687,0
E8288,2652,860,0
E6629,1359,1580,1
E7926,753,696,1
E3767,2153,1418,0
E8503,1021,1216,1
E2058,3009,286,0
E9200,2056,760,0
E2069,185,1836,0
E9241,1106,864,1
E4344,645,1255,1
E450,2155,1696,0
E7076,1145,1035,1
E8900,761,1066,0
E6384,2098,1585,0
E7774,3087,956,1
E6070,2057,1574,0
E2192,1063,1120,1
E5612,545,2915,1
E4564,127,685,0
E1666,2213,2778,1
E811,1020,2560,0
E2022,432,2577,0
E7659,2489,182,0
E7692,1063,1784,1
E1534,128,2525,1
E6157,734,2315,1
E1896,673,2516,1
E8140,602,225,1
E3619,1865,3132,0
E128,1145,1212,1
E7980,2710,3023,1
E8722,239,950,1
E233,1016,1146,1
E3451,3006,160,1
E2449,914,845,0
E2913,1716,566,0
E7656,2366,1909,0
E7824,2282,3272,1
E1903,2179,837,1
E3285,1199,387,1
E7856,1668,2159,0
E3568,2119,3135,0
E8013,1371,607,0
E2157,2249,2720,1
E2389,848,1816,0
E6656,3134,1646,0
E6296,1903,2150,0
E7775,2927,1501,0
E1648,1841,2066,1
E4265,167,2662,1
E5630,573,875,0
E2103,643,1469,1
E7632,1660,2295,0
E5880,1971,1802,0
E4770,231,1479,1
E4244,2965,3205,0
E7520,1098,1816,0
E455,1063,1488,1
E2205,1765,65,0
E557,3198,3290,0
E5094,513,1955,0
E4554,1887,1887,1
E9159,98,828,1
E9204,104,3034,0
E7658,2503,718,0
E88,1344,1290,1
E3650,2436,990,0
E7506,2510,2631,1
E4584,1145,808,1
E5403,3143,134,0
E288,2375,1642,0
E930,2334,1574,1
E7052,2185,859,1
E6670,2984,822,1
E9106,625,105,1
E8247,2720,2224,1
E569,1528,2595,1
E1890,747,2339,0
E9150,2104,3080,0
E6551,2727,864,1
E8005,2102,77,0
E5449,2495,864,1
E4768,1064,1031,0
E1415,2041,2625,1
E1038,420,1294,0
E1746,3248,3205,1
E955,2813,247,1
E1463,88,144,0
E1544,1804,2683,0
E788,1145,2851,1
E8587,527,849,1
E869,161,2079,0
E6910,2228,1907,1
E445,534,3016,0
E8577,1279,1838,1
E3964,2423,1573,1
E8755,2402,335,0
E2974,2188,1812,0
E7513,2870,180,1
E5457,2090,1486,0
E4781,279,1648,0
E1227,2607,1377,1
E6235,1424,1631,0
E5031,2293,534,1
E2062,2560,559,1
E467,1906,219,1
E5930,2675,623,0
E3953,1649,2173,0
E6058,2498,1282,1
E5636,1410,1257,1
E4289,1384,594,0
E2891,2399,1363,1
E414,2005,218,0
E3413,2755,2176,0
E187,143,1884,1
E6859,55,1056,1
E779,1145,1372,1
E3546,1972,1424,1
E9124,912,776,0
E4618,1757,21,0
E796,2146,117,0
E1661,1576,1331,0
E7956,2796,1008,0
E4496,2661,1157,0
E6298,1342,90,0
E4726,957,2237,1
E7674,300,2691,1
E6579,604,2373,1
E8174,59,730,0
E1565,2066,2583,0
E4447,584,1862,1
E8604,527,943,1
E8885,1288,1255,0
E3850,1313,632,1
E8891,1049,2701,0
E4956,2128,763,0
E824,1667,56,0
E1172,419,1307,1
E7260,220,2743,1
E7677,2035,864,0
E7685,1348,1805,1
E8468,1456,731,1
E4478,2466,537,0
E2269,2259,2622,0
E5858,2256,707,1
E6361,2803,712,1
E8147,1011,574,1
E2918,369,1936,1
E5909,1369,956,1
E8578,2624,1770,1
E1978,2397,1789,1
E5392,759,2200,0
E6791,1334,114,0
E7889,1398,2893,0
E3159,1063,1287,1
E8259,2293,1316,1
E2274,2981,834,0
E3081,661,439,1
E5387,1579,280,0
E8976,1196,2493,1
E8112,2277,2438,0
E9249,2260,1336,1
E981,2510,607,1
E2232,1505,1929,0
E8181,2293,1231,1
E5184,793,793,1
E5107,2386,136,1
E1481,1161,1249,0
E5400,1195,3236,0
E2550,2721,3053,1
E5187,972,2432,0
E8622,3231,965,0
E9340,1198,1178,0
E2079,568,1578,0
E2825,1183,2964,0
E8097,952,1342,0
E7017,749,537,1
E3277,1835,704,1
E5988,2293,956,1
E4631,676,2664,1
E2712,1192,488,1
E8710,1375,623,0
E8784,1068,1949,0
E3289,3300,1786,1
E5489,442,1379,1
E2493,841,2052,0
E7080,476,409,1
E9350,474,1248,1
E3823,507,2540,1
E8720,1163,493,1
E2081,3140,1172,1
E8727,2574,182,0
E8775,137,1054,0
E4074,2072,1858,0
E2696,979,3198,1
E8506,3008,1678,0
E7295,1754,2454,1
E2830,1703,1823,0
E8330,2680,241,1
E3214,2984,3134,1
E7443,1955,3173,1
E5491,807,2251,1
E6185,364,365,0
E3704,2809,3040,1
E5935,2251,2136,1
E874,2242,2700,1
E2676,2878,1941,1
E4579,923,366,0
E633,274,1786,1
E7290,3080,1680,0
E8218,1826,635,0
E3904,694,210,0
E5479,261,3265,0
E7664,902,1785,1
E7979,3230,1019,0
E3686,152,551,1
E6287,2203,1239,0
E3989,2363,857,0
E4914,1063,1585,1
E1506,1258,3099,0
E2163,3116,1371,0
E1278,781,1796,1
E8193,1577,1022,0
E1471,2270,3220,1
E2878,1042,900,0
E888,1400,3012,1
E9379,779,2504,1
E3781,2142,2898,0
E8126,1231,2270,1
E3775,1520,1520,1
E5629,762,2387,1
E8981,1335,1541,0
E1757,643,2344,1
E2432,3005,1546,0
E451,1456,2120,1
E1923,527,2536,1
E2403,3232,3091,1
E4284,433,1993,1
E6534,477,49,0
E2357,3107,2906,0
E2336,1017,2560,1
E2206,2996,106,1
E9243,797,1074,0
E4632,2234,3292,0
E7025,1143,1143,1
E5121,1663,2100,0
E2715,2581,3202,0
E963,1958,939,0
E8730,2556,2774,0
E6740,356,1785,1
E8944,585,2405,0
E8499,2381,1532,0
E1183,414,999,0
E2852,1878,1878,1
E935,2949,1173,0
E1612,1496,482,1
E3430,1997,1894,1
E6854,12,1693,0
E5542,2095,1721,0
E612,527,292,1
E1511,845,1852,0
E60,1305,1267,1
E8066,2396,921,1
E4861,549,2856,1
E2339,1147,2345,0
E3971,779,1933,1
E3241,255,2371,0
E1805,1170,3176,1
E1314,1398,900,0
E6211,35,1565,0
E4646,2205,1702,0
E6072,2396,2918,1
E5402,2044,2148,1
E5183,944,1746,1
E7582,2043,1530,1
E1335,3013,378,0
E2250,2756,3303,0
E5225,1374,415,1
E756,2376,3102,1
E1435,898,2477,0
E3907,562,2980,1
E4680,386,1555,0
E5669,33,987,0
E2631,2382,2312,0
E7171,2065,919,1
E5481,533,526,0
E8039,2293,389,1
E527,2169,2718,0
E7413,2091,1966,0
E3585,2012,2472,0
E9217,568,757,0
E6564,2767,3042,0
E2317,2772,1622,0
E4076,2173,1473,0
E3143,2869,1653,0
E439,1095,1095,1
E5270,1305,1369,1
E7465,3059,1548,0
E9049,2727,1101,1
E800,536,2835,1
E46,3287,3113,1
E89,609,465,0
E5048,1514,2403,1
E2423,731,2107,1
E2128,1008,2227,1
E1226,1742,1942,0
E5647,2736,2784,1
E8724,777,1246,1
E7571,2583,1051,0
E2456,1545,1489,1
E4555,275,257,1
E9149,3027,2442,1
E3883,3050,124,0
E2871,1451,2652,0
E3126,2394,720,0
E7773,717,45,0
E9269,235,2630,1
E6253,21,1626,1
E5226,1395,771,0
E5802,930,1828,0
E6526,1696,2514,1
E84,837,2171,0
E7087,364,1587,0
E6521,1754,1405,0
E6159,259,439,1
E4920,1045,1572,0
E6596,586,1260,0
E3857,1063,311,1
E5520,3174,3305,0
E5717,2058,869,1
E4565,852,85,1
E4469,1957,509,0
E9024,662,56,0
E1524,2777,183,1
E7825,734,2235,1
E4278,1025,472,0
E2395,2946,3281,1
E6076,1565,1445,0
E6768,258,1560,1
E3455,2767,48,0
E2416,862,1197,1
E5056,2770,2681,0
E754,1423,764,0
E4617,1688,2627,1
E6020,2196,2537,1
E5945,1283,573,1
E1598,2180,1825,0
E7176,43,1982,0
E2298,3251,2233,0
E5587,944,3283,1
E670,1710,3109,1
E4398,2900,1270,1
E2593,829,3233,1
E5791,2741,2428,1
E5546,2480,3030,0
E4970,2561,401,0
E3620,3243,2877,0
E5932,1387,3130,1
E5843,1559,1872,1
E9264,2412,1992,0
E7920,2195,2557,0
E6087,505,41,0
E5569,2770,770,0
E9348,2466,445,1
E4859,2954,1350,1
E4982,398,2384,0
E5488,1660,65,0
E2897,225,1364,0
E461,1304,2841,0
E9369,1984,1650,1
E9418,1001,1334,1
E7713,3277,1591,0
E6330,1238,1629,1
E3640,3307,1592,0
E8426,800,3063,1
E5462,10,1812,0
E1303,3250,315,0
E520,2727,2090,1
E2775,2020,910,0
E8851,3191,2705,0
E5151,2356,1922,0
E997,2078,1186,1
E5476,3276,205,0
E8668,1390,1390,1
E4388,460,2404,1
E8466,2616,745,0
E7857,661,2494,1
E2305,3177,956,1
E6491,3127,2436,1
E3939,229,2229,0
E5419,1990,3182,1
E1936,2565,2898,0
E6894,1639,428,1
E4782,1298,805,1
E4432,2806,2007,0
E6746,854,689,1
E8093,2868,1600,1
E1037,1003,95,0
E4987,1727,1417,0
E4732,659,173,0
E8408,2679,333,1
E2960,226,3194,1
E3752,899,796,0
E4973,1659,3067,0
E2010,779,1693,1
E3133,2335,1710,0
E9412,710,2718,0
E3861,2285,2354,1
E6071,1574,1954,0
E7684,1889,909,1
E9038,1964,2059,1
E7652,890,618,1
E724,1339,3178,1
E8657,1113,122,0
E1085,764,26,1
E9031,1178,2769,1
E2659,2088,2491,0
E5885,1058,2761,0
E5651,715,2543,1
E1186,2601,2824,0
E8845,1422,2155,0
E6352,708,3091,0
E6184,3300,837,1
E1779,1083,2237,0
E6497,419,1399,0
E1964,2261,482,1
E545,2596,2592,0
E4643,381,3072,1
E1658,2699,1908,1
E3837,2648,2774,0
E4908,1137,234,1
E7820,1358,1210,1
E941,2093,2616,0
E4350,2693,3286,1
E5783,3201,340,0
E2571,1674,2359,1
E5735,302,1320,0
E3028,643,673,1
E5892,950,1623,0
E4638,3302,1024,0
E5934,2929,1486,1
E5941,1543,710,1
E6373,2525,995,1
E7837,2092,2713,1
E7533,1999,27,1
E4224,2101,1742,1
E6407,1308,521,0
E4557,1237,2355,1
E1272,3025,477,0
E6871,1063,899,1
E9025,1287,2551,0
E1729,2198,3000,1
E5963,3020,212,1
E1145,2405,1756,1
E6077,1232,3308,0
E2327,2897,623,1
E93,428,1418,0
E5620,2418,45,1
E5420,2505,1266,0
E3176,2539,1291,1
E8016,222,120,1
E6188,3280,636,1
E6415,2468,931,0
E4799,1060,2494,1
E5452,1249,1936,1
E5893,1516,2533,1
E6170,137,578,1
E153,3241,70,0
E9175,2613,876,1
E7181,1552,1307,0
E7071,2662,157,0
E846,823,163,0
E3298,594,2017,0
E4081,1063,1649,1
E1243,1917,2234,1
E6796,172,1183,0
E8481,2103,1068,1
E1919,1303,2356,1
E4718,671,1419,0
E3993,1615,2562,1
E6103,652,2016,0
E7861,1319,1164,1
E5832,381,2458,0
E5894,779,1488,1
E7853,545,2993,1
E474,868,1591,0
E7331,1482,1287,0
E5453,3268,1781,0
E2230,540,3222,0
E8108,2228,171,0
E6979,477,2265,1
E8119,527,2940,1
E6832,1475,572,0
E7224,1575,933,0
E6445,2604,772,1
E1631,335,1070,1
E2308,1800,1104,1
E4881,2378,2324,0
E5719,84,321,0
E2271,2494,1816,0
E499,496,3302,1
E2568,1318,2579,0
E8178,779,1306,1
E1207,2951,2043,0
E8308,2959,758,1
E6483,1940,2001,1
E5456,1575,2170,0
E8151,1063,176,1
E1160,1787,1419,0
E6612,2134,2368,0
E1103,1504,2532,1
E7704,2779,344,0
E3207,3197,1583,0
E1807,2283,2244,0
E4773,1136,1294,1
E3956,2321,196,0
E3732,313,1408,0
E6163,2676,2298,1
E7939,1677,1448,1
E441,2493,3148,0
E1928,779,900,1
E2209,1228,745,0
E7620,1155,1892,0
E5364,1467,173,0
E915,109,3146,1
E771,1015,3070,0
E7291,1294,74,0
E4110,2666,340,0
E1295,1954,1896,1
E2542,829,856,0
E3108,1656,2222,0
E3724,600,671,0
E7155,1912,2653,0
E6341,655,2539,0
E7986,3052,654,0
E2091,1630,1068,1
E2480,815,2718,0
E8190,1271,3304,0
E7866,1627,2396,0
E417,13,38,0
E7431,160,1154,0
E2931,95,1978,0
E3741,2574,1534,0
E199,1413,637,0
E6793,2216,2253,1
E2819,1005,1654,1
E9223,167,496,1
E6773,1227,1611,1
E5439,3163,908,0
E6716,740,1024,1
E429,1433,2883,0
E5536,1249,104,1
E1013,99,723,0
E6496,1699,1334,1
E7010,2280,204,1
E3470,1936,1330,0
E6563,1132,2594,0
E4674,19,178,1
E1845,1884,3084,1
E745,2875,3115,0
E1825,2074,1181,1
E716,2612,1851,0
E9282,3261,358,0
E175,2949,482,1
E2264,424,988,1
E4769,340,337,1
E9012,1754,1264,0
E394,3092,2679,0
E8450,3201,3013,0
E6008,2398,3124,1
E9088,3243,3185,1
E6088,1355,1553,0
E9097,3141,1118,1
E7908,1832,1832,1
E9284,1384,839,0
E8363,1937,610,1
E3265,205,1555,1
E1737,370,938,0
E7500,3306,3165,0
E6368,1671,1870,1
E8460,807,1306,1
E5268,1284,1284,1
E3706,1115,790,1
E2683,1876,698,1
E4393,2469,1892,0
E6865,3094,2188,0
E211,3032,1358,0
E9293,651,2704,1
E4590,345,2768,0
E7028,527,1944,1
E4700,3006,2135,1
E4039,2782,2098,1
E4574,2800,1416,1
E5007,393,1293,0
E3743,1988,1662,1
E7596,2035,1181,1
E8790,2015,2600,1
E4563,2624,2510,1
E7963,55,171,1
E3490,1506,1566,0
E5375,772,1755,1
E1543,1518,2355,1
E7642,1268,1268,1
E8020,96,64,0
E913,2232,1312,0
E2963,501,2795,0
E6867,2122,165,1
E6784,3311,256,1
E5738,962,3202,1
E2621,1908,2590,0
E97,3162,1504,0
E3794,2970,215,0
E7838,1328,2560,0
E4846,3084,1125,0
E2874,1586,2474,1
E1657,3264,3173,0
E5577,2490,877,1
E6189,2310,1181,1
E4734,1145,3215,1
E2314,2547,1743,1
E7795,2525,899,1
E1878,2525,2940,1
E4490,1840,2577,0
E1595,36,3078,1
E1060,2888,1947,1
E8725,21,1717,1
E3018,2684,519,1
E7865,3035,1026,0
E5423,2196,92,1
E5686,1256,2857,0
E5580,87,1453,1
E982,2624,552,1
E6803,3010,1506,0
E3974,1757,1416,1
E3243,791,2754,1
E9375,284,1874,1
E1629,111,1241,0
E2866,480,1307,0
E7927,1036,415,0
E3543,2670,906,0
E4865,3214,980,0
E3994,1156,651,0
E7869,2204,2922,0
E4307,22,2401,0
E6485,1370,2900,0
E8894,3257,3253,0
E4577,2671,722,0
E1131,2316,2572,1
E7065,1571,1519,0
E1750,2450,448,1
E599,633,2484,0
E6043,845,1863,1
E6265,3142,2159,0
E8611,1631,1509,0
E5320,2395,2370,1
E9337,2319,1036,1
E5805,1308,648,1
E415,2174,2354,0
E3450,293,75,0
E6239,1350,2016,1
E3666,1331,1463,0
E5180,2082,2482,0
E4716,655,2917,0
E2789,75,2462,0
E115,654,2453,1
E385,2882,3094,0
E5205,2298,1300,1
E4053,1686,588,1
E5302,179,995,1
E4117,1617,2271,0
E1579,2580,1473,0
E7356,232,1453,1
E6516,1854,3236,1
E1402,1559,1732,1
E2324,747,2633,0
E4992,2769,1493,0
E3654,2166,251,0
E9339,146,3107,1
E3561,1856,154,1
E5401,3160,802,1
E1676,1986,2263,0
E4142,270,1940,1
E8559,1815,1968,0
E7346,265,2229,1
E1231,2490,2185,1
E6547,1338,1358,0
E7468,1518,103,1
E5059,14,2971,0
E8210,2667,2361,0
E3116,219,1762,0
E330,1284,679,0
E3326,578,1624,0
E8596,803,3215,1
E6060,2720,2872,1
E8923,2012,1098,1
E4739,434,3212,0
E2122,2481,196,1
E8091,1514,1944,1
E9394,779,1784,1
E2831,2248,1030,1
E4251,2186,424,0
E751,2986,2163,0
E8199,540,1201,1
E1180,1145,1521,1
E2229,1623,796,0
E1139,895,1966,1
E8419,752,1305,1
E7858,3238,1428,0
E2507,1747,2423,0
E506,3246,65,0
E8954,2110,3111,1
E3479,2402,2896,0
E9079,1184,2128,0
E6430,1464,2121,0
E4409,2139,1274,0
E145,3000,1641,0
E3142,3239,1763,0
E8665,2018,259,1
E7394,685,2317,1
E6339,1734,1912,0
E2579,550,1913,1
